#NOTE: I made some edits of the IDs to match the Harris catalog
#the only substatial edit was LYNGAring7 -> Lynga_7
#the rest were just taking out leading zeros, changing to lower case, and adding "_"
#Table 4
#Globular Cluster Relative Ages

#Name	[M/H]_ZW	[M/H]_CG	M^TO_F606W	D07_ZW	D07_CG	P04_CG	B94_CG	G00_CG	Group	
NGC_104		-0.57	-0.64	4.13 +or- 0.07	0.96 +or- 0.07	1.02 +or- 0.07	1.07 +or- 0.08	1.02 +or- 0.07	1.05 +or- 0.09	Old	
NGC_288		-1.18	-0.92	3.82 +or- 0.04	0.88 +or- 0.04	0.83 +or- 0.03	0.83 +or- 0.03	0.82 +or- 0.03	0.83 +or- 0.03	Young	
NGC_362		-1.11	-0.87	3.81 +or- 0.05	0.84 +or- 0.04	0.81 +or- 0.04	0.80 +or- 0.04	0.81 +or- 0.04	0.81 +or- 0.05	Young	
NGC_1261	-1.10	-0.86	3.80 +or- 0.05	0.83 +or- 0.04	0.80 +or- 0.04	0.79 +or- 0.04	0.80 +or- 0.04	0.79 +or- 0.05	Young	
NGC_1851	-1.01	-0.81	3.79 +or- 0.05	0.80 +or- 0.04	0.78 +or- 0.04	0.77 +or- 0.04	0.78 +or- 0.04	0.75 +or- 0.04	Young	
NGC_2298	-1.69	-1.49	3.80 +or- 0.05	1.01 +or- 0.05	0.99 +or- 0.05	0.99 +or- 0.05	0.99 +or- 0.05	0.99 +or- 0.05	Old	
NGC_2808	-1.14	-0.89	3.86 +or- 0.03	0.91 +or- 0.03	0.85 +or- 0.03	0.85 +or- 0.03	0.85 +or- 0.03	0.85 +or- 0.02	Young	
NGC_3201	-1.31	-1.02	3.75 +or- 0.04	0.86 +or- 0.03	0.80 +or- 0.03	0.79 +or- 0.03	0.80 +or- 0.02	0.81 +or- 0.03	Young	
NGC_4147	-1.55	-1.28	3.74 +or- 0.04	0.93 +or- 0.04	0.89 +or- 0.04	0.88 +or- 0.04	0.89 +or- 0.04	0.89 +or- 0.03	Young	
NGC_4590	-1.89	-1.78	3.61 +or- 0.05	0.89 +or- 0.03	0.90 +or- 0.04	0.89 +or- 0.04	0.90 +or- 0.04	0.91 +or- 0.04	Old	
NGC_4833	-1.70	-1.49	3.80 +or- 0.05	1.01 +or- 0.05	0.98 +or- 0.05	0.98 +or- 0.04	0.98 +or- 0.05	0.98 +or- 0.05	Old	
NGC_5024	-1.82	-1.64	3.76 +or- 0.05	1.01 +or- 0.05	0.99 +or- 0.05	0.99 +or- 0.04	1.00 +or- 0.05	0.99 +or- 0.05	Old	
NGC_5053	-1.88	-1.76	3.69 +or- 0.05	0.95 +or- 0.04	0.96 +or- 0.04	0.97 +or- 0.04	0.96 +or- 0.05	0.96 +or- 0.04	Old	
NGC_5139	-1.37	-1.13	3.82 +or- 0.05	0.94 +or- 0.05	0.90 +or- 0.05	0.89 +or- 0.05	0.90 +or- 0.05	0.89 +or- 0.05	Young	
NGC_5272	-1.44	-1.12	3.83 +or- 0.04	0.96 +or- 0.04	0.89 +or- 0.04	0.88 +or- 0.04	0.90 +or- 0.03	0.89 +or- 0.04	Young	
NGC_5286	-1.48	-1.19	3.89 +or- 0.05	1.04 +or- 0.04	0.98 +or- 0.04	0.98 +or- 0.05	0.97 +or- 0.05	0.98 +or- 0.05	Old	
NGC_5466	-2.00	-1.98	3.74 +or- 0.05	1.03 +or- 0.05	1.06 +or- 0.05	1.06 +or- 0.06	1.08 +or- 0.03	1.07 +or- 0.05	Old	
NGC_5904	-1.16	-0.90	3.83 +or- 0.03	0.88 +or- 0.03	0.83 +or- 0.03	0.83 +or- 0.03	0.83 +or- 0.03	0.83 +or- 0.02	Young	
NGC_5927	-0.18	-0.50	4.15 +or- 0.07	0.88 +or- 0.06	0.99 +or- 0.07	1.03 +or- 0.08	0.98 +or- 0.07	1.01 +or- 0.11	Old	
